alg,thread_num,iter_type,prefill,query_num,insert,query,delete
wormhole,1,rand,14000,3000,0.000412254,0.000618799,0.000168726
PGM,1,rand,15000,3000,0.0821539,0.000618806,0.194464
wormhole,1,rand,15000,3000,0.000363047,0.000563619,0.000177143
PGM,1,rand,16000,3000,0.087147,0.000540367,0.217726
wormhole,1,rand,16000,3000,0.000302327,0.000582562,0.000162286
PGM,1,rand,17000,3000,0.0910261,0.000548792,0.21398
wormhole,1,rand,17000,3000,0.000273997,0.0005633,0.000162447
PGM,1,rand,18000,3000,0.0926368,0.000608937,0.221639
wormhole,1,rand,18000,3000,0.000272394,0.000578416,0.000171467
PGM,1,rand,19000,3000,0.0934367,0.000591955,0.222922
wormhole,1,rand,19000,3000,0.000259413,0.000531282,0.000175471
PGM,1,seq,1000,4000,0.752742,0.000645616,0.814424
wormhole,1,seq,1000,4000,0.000944157,0.000241269,0.000530639
PGM,1,seq,2000,4000,0.822498,0.000728622,0.83003
wormhole,1,seq,2000,4000,0.000848927,0.000253777,0.000418783
PGM,1,seq,3000,4000,0.661255,0.000619174,0.653358
wormhole,1,seq,3000,4000,0.000611536,0.000222001,0.000456921
PGM,1,seq,4000,4000,0.738977,0.000583574,0.765417
wormhole,1,seq,4000,4000,0.000568666,0.000219964,0.00044549
PGM,1,seq,5000,4000,0.860281,0.000654576,0.876858
wormhole,1,seq,5000,4000,0.000530357,0.000210149,0.000438489
PGM,1,seq,6000,4000,0.846617,0.000679655,0.863422
wormhole,1,seq,6000,4000,0.000487494,0.000203097,0.00040558
PGM,1,seq,7000,4000,0.783487,0.000648756,0.875706
wormhole,1,seq,7000,4000,0.000472812,0.000200345,0.000416667
PGM,1,seq,8000,4000,0.777744,0.000548928,0.773424
wormhole,1,seq,8000,4000,0.000439781,0.000189723,0.000403247
PGM,1,seq,9000,4000,0.787888,0.000574697,0.787948
wormhole,1,seq,9000,4000,0.000428411,0.000187016,0.000402274
PGM,1,seq,10000,4000,0.80988,0.000643584,0.901695
wormhole,1,seq,10000,4000,0.000398664,0.000196335,0.000396245
PGM,1,seq,11000,4000,0.825827,0.00063409,0.902583
wormhole,1,seq,11000,4000,0.000391021,0.000183022,0.000396739
PGM,1,seq,12000,4000,0.87776,0.000676981,0.894299
wormhole,1,seq,12000,4000,0.000383066,0.000185475,0.000403306
PGM,1,seq,13000,4000,0.834431,0.000645731,0.895561
wormhole,1,seq,13000,4000,0.000379418,0.000189206,0.000392463
PGM,1,seq,14000,4000,0.878251,0.000659412,0.901451
